Title	URL	Assignees	Status
Set Up Team Logo and request Team T-shirt	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/4	dnsch	Sprint Backlog
[Epic] Implement Data Collection Automation Pipeline			Product Backlog
Identify Repositories for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/11		Product Backlog
Create Software architecture draft	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/12		Product Backlog
Extract Content from CNCF sources	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/7		Product Backlog
Identify Webpages for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/6		Product Backlog
Transform extracted data into a unified Format	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/8		Product Backlog
Load data to Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/9		Product Backlog
Monitoring of the ETL process by Logging	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/10		Product Backlog
[Epic] Set up and integrate the Gemma model			Product Backlog
[Epic] Enhance Data Collection Tool with Knowledge Extraction Capabilities			Product Backlog
