Title	URL	Assignees	Status	Labels
[PO] Create the Demo-day Slide	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/109		Feature Archive	amos-homework
Implement the Chat-bot User Interface	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/110	anosh-ar, christianwielenberg	Feature Archive	Actual SP 05, SP 05, User Story
Deploy the Fine-tuned Model	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/108	anosh-ar	Feature Archive	Actual SP 03, SP 05, User Story
Implement a Script for LLM fine-tuning	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/98	christianwielenberg, julioc-p	Feature Archive	Actual SP 02, SP 02, User Story
Implement Quantitative Evaluation Script	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/81	christianwielenberg, dnsch	Feature Archive	Actual SP 01, SP 01, User Story
Preliminary investigation of deployment with localai	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/103	christianwielenberg, dnsch	Feature Archive	Actual SP 03, SP 03, User Story
Combine latest changes of the Q&A dataset and Stackoverflow dataset to the Merged Q&A dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/101	anosh-ar	Feature Archive	Actual SP 03, SP 03, User Story
Utilise Hetzner for LLM Fine-tuning 	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/97	anosh-ar	Feature Archive	Actual SP 05, SP 05, User Story
Document our Datasets	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/102	YashodharPansuriya	Feature Archive	Actual SP 03, SP 03, User Story
Run Stackoverflow extraction to get more data	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/78	YashodharPansuriya	Feature Archive	Actual SP 01, SP 01, User Story
Refactor the ETL and Data Transformation Scripts	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/94	dnsch, YashodharPansuriya	Feature Archive	Actual SP 05, SP 03, User Story
Run Q&A Generator with the Latest Collected Data	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/93	christianwielenberg	Feature Archive	Actual SP 02, SP 03, User Story
Prepare a small test set for evaluation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/82	anosh-ar, christianwielenberg, dnsch	Feature Archive	Actual SP 02, SP 02, User Story
Collect previous research work in our Wiki	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/95	YashodharPansuriya	Feature Archive	Actual SP 02, SP 03, User Story
Study and Research on LLM Hyper-parameters	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/92	anosh-ar, julioc-p	Feature Archive	Actual SP 05, SP 05, User Story
Select Suitable Benchmark Metrics	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/80	christianwielenberg, dnsch	Feature Archive	Actual SP 05, SP 05, User Story
Extract And Store Text Data From CNCF Project Webpages	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/56	anosh-ar	Feature Archive	Actual SP 08, SP 08, User Story
Train LLM on FAUs HPC	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/64	christianwielenberg, dnsch	Feature Archive	Actual SP 03, SP 03, User Story
Deploy the trained model to Huggingface	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/66	julioc-p	Feature Archive	Actual SP 05, SP 05, User Story
Utilise HPC for Data Generation Scripts	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/71	christianwielenberg	Feature Archive	Actual SP 05, SP 05, User Story
Preprocessing of the data of the Q&A dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/61	anosh-ar	Feature Archive	Actual SP 05, SP 05, User Story
Implementation of the Retraining to get a CNCF LLM	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/63	christianwielenberg, dnsch	Feature Archive	Actual SP 05, SP 05, User Story
Create build/deploy documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/52	YashodharPansuriya	Feature Archive	Actual SP 02, amos-homework, SP 03, User Story
Create design documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/51	julioc-p	Feature Archive	Actual SP 03, amos-homework, SP 03, User Story
Create User documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/50	julioc-p	Feature Archive	Actual SP 02, amos-homework, SP 03, User Story
Learn How to Utilise the HPC 	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/32	anosh-ar, christianwielenberg, dnsch, julioc-p, YashodharPansuriya	Feature Archive	Actual SP 03, SP 05, User Story
Research and Select a Suitable NER Tool or Library	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/44	dnsch	Feature Archive	Actual SP 03, SP 05, User Story
Include Stackoverflow Q&As related to CNCF into our Q&A dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/34	anosh-ar, YashodharPansuriya	Feature Archive	Actual SP 05, SP 08, User Story
Improve the Performance of Data Unifying Script	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/35	christianwielenberg	Feature Archive	Actual SP 03, SP 03, User Story
Make whole project able to be build with a build tool	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/49	julioc-p	Feature Archive	Actual SP 08, amos-homework, SP 08, User Story
Improve the Q&A Pairs Transformation Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/42	christianwielenberg, dnsch	Feature Archive	Actual SP 05, SP 05, User Story
Implement an Initial Generator for enriching Q&A Pairs	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/31	anosh-ar, dnsch	Feature Archive	Actual SP 05, SP 05, User Story
Exclude Non-English Content from Raw Dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/38	anosh-ar	Feature Archive	Actual SP 02, SP 02, User Story
Implement an Initial Answer Matching Function	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/30	christianwielenberg, julioc-p	Feature Archive	Actual SP 02, SP 05, User Story
