Title	URL	Assignees	Status
Enhance Software Architecture Draft - Detail Machine Learning Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/17	dnsch	Feature Archive
Create a Report on LLM Research Findings	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/21	christianwielenberg	Feature Archive
Extract Content from CNCF sources	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/7	anosh-ar	Feature Archive
Conduct Largue Langage Base Model Selection Process	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/19	anosh-ar	Feature Archive
Research Open-Source LLMs	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/18	julioc-p	Feature Archive
Set Up Team Logo and request Team T-shirt	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/4	dnsch	Feature Archive
Identify Repositories for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/11	julioc-p	Feature Archive
CI/CD pipeline for project	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/23	julioc-p	Feature Archive
Create Software architecture draft	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/12	dnsch	Feature Archive
Transform extracted data into a unified Format	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/8	YashodharPansuriya	Feature Archive
Load data to Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/9	christianwielenberg	Feature Archive
Monitoring of the ETL process by Logging	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/10	julioc-p	Feature Archive
[Epic] Make Project Ready to be deployed into production			Product Backlog
Make whole project able to be build with a build tool	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/49		Product Backlog
Create build/deploy documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/52		Product Backlog
[Epic] Implement Data Collection Automation Pipeline			Product Backlog
Learn How to Utilise the HPC 	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/32		Sprint Backlog
Identify Webpages for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/6	julioc-p	Awaiting review
Store Q&As in Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/33	YashodharPansuriya	Awaiting review
Extract the dataset from Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/16	YashodharPansuriya	Awaiting review
Implement an Initial Question Extraction Function	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/29	christianwielenberg, julioc-p	Awaiting review
Implement an Initial Answer Matching Function	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/30	christianwielenberg, julioc-p	Awaiting review
Exclude Non-English Content from Raw Dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/38	anosh-ar	Awaiting review
Implement an Initial Generator for enriching Q&A Pairs	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/31	anosh-ar, dnsch	Awaiting review
Research Q&A Pairs Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/27	dnsch	In progress
[Epic] Research and Select an Open LLM for CNCF-related knowledge			Feature Archive
[Epic] Develop Q&A Pairs Transforming Pipeline			Feature Archive
[Epic] Enhance the Q&A dataset			Product Backlog
Include Stackoverflow Q&As related to CNCF into our Q&A dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/34		Product Backlog
Improve the Q&A Pairs Transformation Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/42		Product Backlog
Improve the Performance of Data Unifying Script	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/35		Product Backlog
Contact Kubernetes to verify the training data	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/43		Product Backlog
[Epic] Integrate Named Entity Recognition (NER) into the Q&A Transformation Pipeline			Product Backlog
Research and Select an Suitable NER tool or library	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/44		Product Backlog
Define a list of CNCF-specific entities and their relationships	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/45		Product Backlog
Implement and integrate NER Module	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/46		Product Backlog
[Epic] Fine-Tune the Selected LLM to Specialize in CNCF content			Product Backlog
-- FOR LATER IN THE FUTURE --			Product Backlog
[Epic] Deploy and Test the LLM on HuggingFace			Product Backlog
Create design documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/51		Product Backlog
Create User documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/50		Product Backlog
